Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Online,2024-07-01,2024-07-20,2434.59,149873,4374,197
2,In-Store,2024-07-01,2024-07-18,5568.72,409360,5107,724
3,Social,2024-07-01,2024-07-18,5992.72,595962,34597,2745
4,TV,2024-07-01,2024-07-28,10098.02,335329,5384,548
5,Online,2024-08-05,2024-08-19,3383.87,350846,9846,580
6,Social,2024-08-05,2024-08-19,7539.21,738914,43735,3828
7,Email,2024-08-05,2024-08-15,726.08,166765,14053,675
8,In-Store,2024-09-18,2024-09-27,4818.29,357810,5950,761
9,TV,2024-09-18,2024-10-08,12731.59,609265,9956,694
10,Online,2024-11-18,2024-12-02,2994.19,305130,13560,955
11,Social,2024-11-18,2024-11-29,5565.08,693984,28313,3249
12,TV,2024-11-18,2024-12-18,6586.34,349359,2990,326
13,Email,2024-11-18,2024-11-27,1241.86,403630,27591,1818
14,In-Store,2024-11-18,2024-11-27,4621.75,273043,5281,773
15,Online,2024-12-02,2024-12-14,6046.44,473879,17937,1240
16,TV,2024-12-02,2024-12-26,6583.55,220140,1961,123
17,Social,2024-12-02,2024-12-12,3162.9,450154,24243,1865
18,Online,2025-01-02,2025-01-20,7477.89,615629,31288,1269
19,Email,2025-01-02,2025-01-07,1690.74,283541,20428,726
20,In-Store,2025-01-20,2025-02-01,2632.63,228142,5364,1165
21,Email,2025-01-20,2025-01-26,1412.29,409869,33643,1863
22,Social,2025-02-01,2025-02-13,3162.89,263452,16108,1403
23,Email,2025-02-01,2025-02-05,1558.31,264070,15355,1217
24,Social,2025-03-10,2025-03-23,3708.55,474141,15717,1591
25,Online,2025-03-10,2025-03-20,7374.51,511931,22930,2002
26,In-Store,2025-03-10,2025-03-18,3060.23,116074,1786,310
27,Social,2025-05-01,2025-05-13,6691.58,752980,33836,3822
28,Email,2025-05-01,2025-05-12,793.61,186227,12927,536
29,In-Store,2025-05-01,2025-05-10,2028.76,79302,1037,127
30,Online,2025-06-12,2025-06-26,2203.89,219494,6898,321
31,In-Store,2025-06-12,2025-06-27,4304.85,269485,4988,645
32,Social,2025-06-12,2025-07-01,4915.62,520118,30771,2988
33,Online,2025-08-05,2025-08-24,2360.98,190009,9661,506
34,Social,2025-08-05,2025-08-17,5578.6,733762,35591,3958
35,TV,2025-08-05,2025-08-20,8709.74,315089,2680,321
36,In-Store,2025-09-22,2025-09-28,5875.99,234352,3435,579
37,Email,2025-09-22,2025-09-29,1983.44,246318,9879,489
38,Online,2025-11-17,2025-12-03,3425.92,239467,11614,848
39,Social,2025-11-17,2025-12-03,3175.22,414737,22050,1939
40,TV,2025-11-17,2025-12-10,5043.07,212346,3509,243
41,Email,2025-11-17,2025-11-22,1962.15,536288,44560,2236
42,In-Store,2025-11-17,2025-12-02,2984.86,142063,2657,473
43,Online,2025-12-01,2025-12-18,3603.31,351219,12090,644
44,TV,2025-12-01,2025-12-18,10881.06,537489,8341,536
45,Social,2025-12-01,2025-12-17,6113.3,535437,27577,2355
46,Online,2026-01-02,2026-01-13,7119.58,455695,16444,787
47,Email,2026-01-02,2026-01-10,1578.68,205047,8282,586
48,Social,2026-02-02,2026-02-15,8070.06,1271160,51581,5791
49,Email,2026-02-02,2026-02-08,1035.76,179416,9003,555
50,Social,2026-03-09,2026-03-22,5384.08,727133,23291,2198
51,Online,2026-03-09,2026-03-22,2051.29,167598,9116,438
52,In-Store,2026-03-09,2026-03-22,4206.72,201357,2658,553
53,Social,2026-04-28,2026-05-09,5637.22,452027,16238,956
54,Email,2026-04-28,2026-05-06,1183.44,168966,7095,339
55,Online,2026-06-15,2026-07-04,3222.32,376923,19420,1171
56,In-Store,2026-06-15,2026-06-30,4997.91,176589,2578,515
57,Social,2026-06-15,2026-06-26,7752.92,1309994,56706,6530
58,Online,2026-07-01,2026-07-20,6725.16,398044,19353,878
59,Social,2026-07-01,2026-07-10,7609.14,1040035,50350,3593
60,Email,2026-07-01,2026-07-08,956.68,148765,8022,268
