Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel
1,108,2315,2024-07-01,3,195.0,Online
2,111,2121,2024-07-01,1,81.0,Online
3,101,5549,2024-07-01,2,50.0,In-Store
4,106,4055,2024-07-01,3,140.25,Online
5,103,2027,2024-07-01,1,24.0,Online
6,110,3757,2024-07-01,2,108.0,Online
7,109,5404,2024-07-01,1,29.75,Online
8,111,4492,2024-07-01,1,90.0,Online
9,120,2420,2024-07-01,2,300.0,In-Store
10,116,5648,2024-07-01,2,51.2,Online
11,112,2633,2024-07-01,1,88.0,In-Store
12,103,2901,2024-07-01,1,27.0,Online
13,107,3604,2024-07-01,1,45.0,In-Store
14,113,4726,2024-07-01,3,67.2,In-Store
15,106,5143,2024-07-01,1,55.0,Online
16,105,3047,2024-07-01,1,18.0,In-Store
17,106,4535,2024-07-02,1,55.0,Online
18,102,2692,2024-07-02,2,150.0,Online
19,114,5878,2024-07-02,1,180.0,In-Store
20,116,3211,2024-07-02,2,54.4,Online
21,105,5276,2024-07-02,1,19.12,Online
22,107,5190,2024-07-02,2,72.0,Online
23,116,2692,2024-07-02,3,81.6,Online
24,101,2420,2024-07-02,1,21.25,Online
25,119,4029,2024-07-02,1,56.0,Online
26,111,3466,2024-07-02,1,81.0,Online
27,101,2540,2024-07-02,1,21.25,In-Store
28,105,3142,2024-07-02,2,40.5,Online
29,101,5875,2024-07-02,1,22.5,Online
30,109,5977,2024-07-02,1,35.0,In-Store
31,107,4055,2024-07-02,1,45.0,Online
32,118,2265,2024-07-02,3,144.0,Online
33,101,5292,2024-07-02,1,21.25,Online
34,120,4894,2024-07-02,1,120.0,Online
35,111,2092,2024-07-02,1,76.5,Online
36,116,4046,2024-07-02,1,25.6,Online
37,103,3654,2024-07-02,2,48.0,In-Store
38,119,2429,2024-07-02,3,168.0,In-Store
39,113,5597,2024-07-02,2,50.4,Online
40,103,5920,2024-07-02,2,54.0,Online
41,111,3510,2024-07-02,1,90.0,In-Store
42,103,3364,2024-07-02,2,48.0,Online
43,116,5269,2024-07-02,3,81.6,In-Store
44,105,5075,2024-07-03,1,19.12,In-Store
45,110,2020,2024-07-03,1,51.0,In-Store
46,111,4481,2024-07-03,2,144.0,Online
47,116,2957,2024-07-03,1,27.2,Online
48,120,2033,2024-07-03,1,127.5,In-Store
49,107,2860,2024-07-03,1,36.0,Online
50,101,2033,2024-07-03,2,45.0,Online
51,117,4967,2024-07-03,1,21.6,Online
52,105,5139,2024-07-03,2,40.5,In-Store
53,119,3314,2024-07-03,2,126.0,Online
54,106,4360,2024-07-03,2,93.5,Online
55,103,2954,2024-07-03,1,30.0,In-Store
56,109,3943,2024-07-03,1,29.75,In-Store
57,114,5392,2024-07-03,2,324.0,In-Store
58,107,5139,2024-07-03,2,90.0,In-Store
59,106,2598,2024-07-03,3,165.0,Online
60,112,3560,2024-07-03,2,176.0,Online
61,110,3625,2024-07-03,1,48.0,Online
62,106,4582,2024-07-03,3,165.0,Online
63,116,3830,2024-07-03,2,54.4,In-Store
64,106,3754,2024-07-03,2,88.0,Online
65,102,3052,2024-07-03,1,63.75,Online
66,102,5884,2024-07-04,4,270.0,In-Store
67,111,3943,2024-07-04,1,72.0,In-Store
68,102,4734,2024-07-04,1,67.5,In-Store
69,104,3785,2024-07-04,1,108.0,Online
70,104,5920,2024-07-04,1,120.0,Online
71,101,3536,2024-07-04,2,40.0,Online
72,102,2796,2024-07-04,1,75.0,Online
73,101,2282,2024-07-04,2,45.0,In-Store
74,119,2098,2024-07-04,2,112.0,Online
75,110,4985,2024-07-04,1,54.0,Online
76,105,5961,2024-07-04,3,54.0,Online
77,118,4914,2024-07-04,1,40.8,Online
78,109,4400,2024-07-04,1,35.0,Online
79,101,3581,2024-07-04,1,20.0,Online
80,108,3888,2024-07-04,1,55.25,In-Store
81,114,4967,2024-07-04,1,180.0,Online
82,101,5943,2024-07-04,2,50.0,In-Store
83,118,5130,2024-07-04,1,38.4,Online
84,101,5319,2024-07-04,1,20.0,In-Store
85,116,5947,2024-07-04,2,54.4,In-Store
86,103,2769,2024-07-04,1,25.5,In-Store
87,111,2540,2024-07-04,2,144.0,Online
88,103,3868,2024-07-04,3,76.5,In-Store
89,113,4802,2024-07-04,4,112.0,Online
90,101,3849,2024-07-04,2,42.5,In-Store
91,110,4335,2024-07-04,1,51.0,Online
92,106,4262,2024-07-04,1,44.0,In-Store
93,108,5847,2024-07-04,1,65.0,Online
94,109,3930,2024-07-04,1,29.75,Online
95,119,4327,2024-07-04,2,126.0,In-Store
96,109,4055,2024-07-05,1,28.0,Online
97,108,3569,2024-07-05,1,58.5,Online
98,116,4433,2024-07-05,4,128.0,In-Store
99,109,3487,2024-07-05,1,35.0,Online
100,111,5006,2024-07-05,3,270.0,In-Store
101,106,5315,2024-07-05,2,93.5,Online
102,101,5262,2024-07-05,1,25.0,In-Store
103,103,5511,2024-07-05,1,27.0,In-Store
104,107,5404,2024-07-05,2,72.0,Online
105,103,4689,2024-07-05,1,27.0,Online
106,111,2268,2024-07-05,1,81.0,Online
107,106,3775,2024-07-05,1,55.0,Online
108,103,4726,2024-07-05,3,76.5,Online
109,101,4162,2024-07-05,2,50.0,Online
110,101,2801,2024-07-05,1,25.0,In-Store
111,112,3943,2024-07-05,2,198.0,Online
112,110,5253,2024-07-05,1,48.0,Online
113,109,2429,2024-07-06,3,105.0,Online
114,120,5779,2024-07-06,2,300.0,In-Store
115,119,5427,2024-07-06,1,56.0,Online
116,119,4055,2024-07-06,1,63.0,In-Store
117,106,3142,2024-07-06,1,44.0,Online
118,101,5622,2024-07-06,1,25.0,Online
119,118,5002,2024-07-06,1,38.4,Online
120,106,4332,2024-07-06,2,88.0,In-Store
121,119,4753,2024-07-06,2,140.0,Online
122,107,2623,2024-07-06,2,90.0,Online
123,118,4876,2024-07-06,1,48.0,In-Store
124,106,3470,2024-07-06,1,46.75,In-Store
125,106,4659,2024-07-06,1,46.75,In-Store
126,118,3242,2024-07-06,2,96.0,Online
127,113,4502,2024-07-06,1,23.8,Online
128,119,4452,2024-07-06,1,70.0,Online
129,103,2914,2024-07-06,4,108.0,Online
130,108,2050,2024-07-06,1,58.5,Online
131,101,3111,2024-07-06,2,45.0,In-Store
132,101,3544,2024-07-06,1,22.5,Online
133,106,3584,2024-07-06,1,55.0,In-Store
134,108,3943,2024-07-06,1,58.5,Online
135,115,3524,2024-07-06,3,229.5,Online
136,110,3620,2024-07-06,2,108.0,Online
137,107,2758,2024-07-06,2,76.5,Online
138,109,4938,2024-07-06,5,157.5,Online
139,109,5746,2024-07-06,1,31.5,Online
140,103,2842,2024-07-06,1,25.5,Online
141,108,2833,2024-07-06,1,55.25,Online
142,101,4024,2024-07-06,2,40.0,In-Store
143,106,3077,2024-07-06,1,55.0,In-Store
144,108,4907,2024-07-06,1,55.25,Online
145,102,4400,2024-07-06,1,67.5,Online
146,103,2334,2024-07-06,2,51.0,Online
147,118,2444,2024-07-06,1,38.4,Online
148,102,3945,2024-07-07,1,75.0,Online
149,103,2767,2024-07-07,2,60.0,Online
150,106,5801,2024-07-07,2,88.0,Online
151,103,2901,2024-07-07,3,90.0,In-Store
152,103,4549,2024-07-07,1,30.0,In-Store
153,101,4664,2024-07-07,1,20.0,Online
154,107,2877,2024-07-07,1,40.5,Online
155,113,2449,2024-07-07,1,25.2,In-Store
156,106,5749,2024-07-07,3,165.0,Online
157,114,3956,2024-07-07,1,153.0,Online
158,107,5687,2024-07-07,1,38.25,Online
159,109,2258,2024-07-07,1,29.75,Online
160,110,2531,2024-07-07,1,54.0,Online
161,105,4219,2024-07-07,2,45.0,Online
162,116,4828,2024-07-07,1,25.6,In-Store
163,118,3405,2024-07-07,3,115.2,In-Store
164,101,4228,2024-07-07,1,25.0,In-Store
165,102,3438,2024-07-07,1,60.0,Online
166,103,5310,2024-07-07,2,48.0,Online
167,110,2869,2024-07-07,2,108.0,In-Store
168,107,2923,2024-07-07,2,90.0,Online
169,118,3893,2024-07-07,4,163.2,Online
170,102,2708,2024-07-07,3,191.25,In-Store
171,103,5168,2024-07-07,1,30.0,Online
172,111,4342,2024-07-07,1,90.0,In-Store
173,113,2742,2024-07-07,1,23.8,In-Store
174,111,3688,2024-07-07,2,153.0,Online
175,111,3889,2024-07-07,3,243.0,In-Store
176,101,4393,2024-07-07,1,22.5,Online
177,110,4980,2024-07-07,1,48.0,Online
178,106,2634,2024-07-07,2,110.0,In-Store
179,116,2828,2024-07-07,1,28.8,Online
180,109,2769,2024-07-08,1,35.0,Online
181,103,4400,2024-07-08,2,54.0,In-Store
