Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions,Attributed_Revenue,Attributed_Orders
1,Online,2024-07-01,2024-07-20,2434.59,149873,4374,197,19801.5,263
2,In-Store,2024-07-01,2024-07-18,5568.72,409360,5107,724,9280.87,133
3,Social,2024-07-01,2024-07-18,5992.72,595962,34597,2745,17622.370000000003,232
4,TV,2024-07-01,2024-07-28,10098.02,335329,5384,548,26354.25,353
5,Online,2024-08-05,2024-08-19,3383.87,350846,9846,580,31886.949999999997,390
6,Social,2024-08-05,2024-08-19,7539.21,738914,43735,3828,31886.949999999997,390
7,Email,2024-08-05,2024-08-15,726.08,166765,14053,675,21432.36,256
8,In-Store,2024-09-18,2024-09-27,4818.29,357810,5950,761,12906.949999999999,146
9,TV,2024-09-18,2024-10-08,12731.59,609265,9956,694,18295.78,193
10,Online,2024-11-18,2024-12-02,2994.19,305130,13560,955,39286.89,506
11,Social,2024-11-18,2024-11-29,5565.08,693984,28313,3249,24674.46,322
12,TV,2024-11-18,2024-12-18,6586.34,349359,2990,326,76299.41,972
13,Email,2024-11-18,2024-11-27,1241.86,403630,27591,1818,19220.260000000002,234
14,In-Store,2024-11-18,2024-11-27,4621.75,273043,5281,773,9941.44,116
15,Online,2024-12-02,2024-12-14,6046.44,473879,17937,1240,31534.319999999996,398
16,TV,2024-12-02,2024-12-26,6583.55,220140,1961,123,56804.79,717
17,Social,2024-12-02,2024-12-12,3162.9,450154,24243,1865,24908.15,314
18,Online,2025-01-02,2025-01-20,7477.89,615629,31288,1269,46147.270000000004,524
19,Email,2025-01-02,2025-01-07,1690.74,283541,20428,726,16312.27,175
20,In-Store,2025-01-20,2025-02-01,2632.63,228142,5364,1165,17281.93,199
21,Email,2025-01-20,2025-01-26,1412.29,409869,33643,1863,7108.57,91
22,Social,2025-02-01,2025-02-13,3162.89,263452,16108,1403,42711.060000000005,464
23,Email,2025-02-01,2025-02-05,1558.31,264070,15355,1217,12138.68,149
24,Social,2025-03-10,2025-03-23,3708.55,474141,15717,1591,34545.77,379
25,Online,2025-03-10,2025-03-20,7374.51,511931,22930,2002,22778.86,245
26,In-Store,2025-03-10,2025-03-18,3060.23,116074,1786,310,10377.75,102
27,Social,2025-05-01,2025-05-13,6691.58,752980,33836,3822,31564.989999999998,358
28,Email,2025-05-01,2025-05-12,793.61,186227,12927,536,29485.78,326
29,In-Store,2025-05-01,2025-05-10,2028.76,79302,1037,127,9766.17,121
30,Online,2025-06-12,2025-06-26,2203.89,219494,6898,321,32120.68,395
31,In-Store,2025-06-12,2025-06-27,4304.85,269485,4988,645,18185.390000000003,218
32,Social,2025-06-12,2025-07-01,4915.62,520118,30771,2988,50909.32,620
33,Online,2025-08-05,2025-08-24,2360.98,190009,9661,506,100777.78,1163
34,Social,2025-08-05,2025-08-17,5578.6,733762,35591,3958,58404.520000000004,673
35,TV,2025-08-05,2025-08-20,8709.74,315089,2680,321,73477.3,828
36,In-Store,2025-09-22,2025-09-28,5875.99,234352,3435,579,18225.53,183
37,Email,2025-09-22,2025-09-29,1983.44,246318,9879,489,18467.73,232
38,Online,2025-11-17,2025-12-03,3425.92,239467,11614,848,85287.0,1118
39,Social,2025-11-17,2025-12-03,3175.22,414737,22050,1939,85287.0,1118
40,TV,2025-11-17,2025-12-10,5043.07,212346,3509,243,116119.3,1484
41,Email,2025-11-17,2025-11-22,1962.15,536288,44560,2236,19042.93,254
42,In-Store,2025-11-17,2025-12-02,2984.86,142063,2657,473,41939.270000000004,583
43,Online,2025-12-01,2025-12-18,3603.31,351219,12090,644,119078.68,1464
44,TV,2025-12-01,2025-12-18,10881.06,537489,8341,536,119078.68,1464
45,Social,2025-12-01,2025-12-17,6113.3,535437,27577,2355,111439.83,1366
46,Online,2026-01-02,2026-01-13,7119.58,455695,16444,787,64788.65,739
47,Email,2026-01-02,2026-01-10,1578.68,205047,8282,586,50065.67,586
48,Social,2026-02-02,2026-02-15,8070.06,1271160,51581,5791,107962.17,1146
49,Email,2026-02-02,2026-02-08,1035.76,179416,9003,555,46239.479999999996,490
50,Social,2026-03-09,2026-03-22,5384.08,727133,23291,2198,65496.59,684
51,Online,2026-03-09,2026-03-22,2051.29,167598,9116,438,65496.59,684
52,In-Store,2026-03-09,2026-03-22,4206.72,201357,2658,553,31113.61,360
53,Social,2026-04-28,2026-05-09,5637.22,452027,16238,956,76635.32,921
54,Email,2026-04-28,2026-05-06,1183.44,168966,7095,339,54581.51,664
55,Online,2026-06-15,2026-07-04,3222.32,376923,19420,1171,102268.76,1322
56,In-Store,2026-06-15,2026-06-30,4997.91,176589,2578,515,41727.350000000006,545
57,Social,2026-06-15,2026-06-26,7752.92,1309994,56706,6530,52089.3,688
58,Online,2026-07-01,2026-07-20,6725.16,398044,19353,878,149524.94,1977
59,Social,2026-07-01,2026-07-10,7609.14,1040035,50350,3593,80983.02,1047
60,Email,2026-07-01,2026-07-08,956.68,148765,8022,268,68205.23999999999,882
