feature,importance,modele
Monetary,0.11507228003574092,churn
Tenure_Days,0.09843636658158374,churn
Avg_Days_Between,0.09200410202652964,churn
N_Products,0.09074761533762546,churn
AOV,0.07782711332315345,churn
Frequency,0.07288732248483995,churn
Recency,0.06382407334053543,churn
Age,0.055889212851078944,churn
Avg_Basket_Qty,0.05134674673766132,churn
Share_Accessories,0.05113670830831327,churn
Share_Footwear,0.048909759202169854,churn
Avg_Discount,0.048604301503182165,churn
Share_Clothing,0.03879288672586686,churn
Pct_Online,0.03713128513946544,churn
N_Categories,0.031620126570463564,churn
Share_Outerwear,0.01633271841903397,churn
Gender_Male,0.009437381412756102,churn
