feature,importance,modele
Frequency,0.46403937090312647,clv
Avg_Days_Between,0.1322317366626119,clv
Tenure_Days,0.08753495258691464,clv
Monetary,0.06434292022172428,clv
N_Products,0.036884844505756215,clv
Recency,0.027631475781,clv
Share_Footwear,0.02396675626914849,clv
Share_Clothing,0.02314621040902352,clv
Age,0.02278539856286277,clv
AOV,0.022216411437718596,clv
Avg_Discount,0.020137429998764854,clv
Share_Accessories,0.01983230909332019,clv
Avg_Basket_Qty,0.01740284283355432,clv
Pct_Online,0.015299592012967522,clv
Share_Outerwear,0.014862871002060143,clv
Gender_Male,0.003948567024536987,clv
N_Categories,0.0037363106949091247,clv
